isic_id,CI_name
ISIC_1615485,CI_10052727
ISIC_1618950,CI_14114415
ISIC_1626681,CI_12054280
ISIC_1634173,CI_09133823
ISIC_1636427,CI_14563031
ISIC_1685962,CI_11184275
ISIC_1689823,CI_14085647
ISIC_1692768,CI_11152072
ISIC_1742207,CI_16311895
ISIC_1752997,CI_14042259
ISIC_1758247,CI_09521105
ISIC_1789897,CI_15083271
ISIC_1797052,CI_13433675
ISIC_1805743,CI_17020471
ISIC_1818238,CI_11253887
ISIC_1819418,CI_11111523
ISIC_1832538,CI_11345220
ISIC_1833509,CI_14061569
ISIC_1838042,CI_11531771
ISIC_1839246,CI_15373021
ISIC_1855530,CI_14582090
ISIC_1856063,CI_11414599
ISIC_1860707,CI_15054496
ISIC_1863725,CI_14105323
ISIC_1884970,CI_16051840
ISIC_1906680,CI_10163425
ISIC_1907322,CI_14435103
ISIC_1919342,CI_13010359
ISIC_1919749,CI_10161205
ISIC_1926807,CI_11301616
ISIC_1933101,CI_09583264
ISIC_1936297,CI_15432445
ISIC_1939413,CI_11523922
ISIC_1949126,CI_15381785
ISIC_1953852,CI_10250829
ISIC_1957594,CI_11073674
ISIC_1960009,CI_16062232
ISIC_1962844,CI_11514678
ISIC_1966992,CI_16422227
ISIC_1990155,CI_12122571
ISIC_2003288,CI_08594801
ISIC_2007396,CI_10100284
ISIC_2010209,CI_10270377
ISIC_2030042,CI_10593524
ISIC_2041690,CI_09281043
ISIC_2046445,CI_11315264
ISIC_2056422,CI_11255291
ISIC_2060077,CI_12323070
ISIC_2080318,CI_10422545
ISIC_2099850,CI_12044723
ISIC_2102374,CI_17104509
ISIC_2108849,CI_13481200
ISIC_2116449,CI_14152683
ISIC_2126277,CI_09061135
ISIC_2128061,CI_13053668
ISIC_2133528,CI_12065044
ISIC_2137080,CI_11211073
ISIC_2138419,CI_10260762
ISIC_2139839,CI_10004776
ISIC_2141209,CI_16325095
ISIC_2144690,CI_14161285
ISIC_2166645,CI_14081224
ISIC_2185005,CI_08335096
ISIC_2187659,CI_09334527
ISIC_2195258,CI_08505834
ISIC_2198823,CI_10263315
ISIC_2201020,CI_15005401
ISIC_2202831,CI_10364174
ISIC_2227940,CI_12134497
ISIC_2243756,CI_12003096
ISIC_2246574,CI_11083800
ISIC_2249845,CI_11450572
ISIC_2271767,CI_15325538
ISIC_2274046,CI_15021829
ISIC_2277806,CI_15065845
ISIC_2283057,CI_13523269
ISIC_2283509,CI_10294557
ISIC_2288288,CI_09002127
ISIC_2290284,CI_12003689
ISIC_2294973,CI_13152032
ISIC_2308906,CI_10545962
ISIC_2310935,CI_15401056
ISIC_2344163,CI_16114774
ISIC_2354921,CI_17155394
ISIC_2361705,CI_14371538
ISIC_2365013,CI_11250055
ISIC_2381635,CI_10071246
ISIC_2393912,CI_13535427
ISIC_2399526,CI_10221822
ISIC_2402187,CI_13210669
ISIC_2410708,CI_10204801
ISIC_2430686,CI_17242227
ISIC_2433965,CI_09433731
ISIC_2436560,CI_15010726
ISIC_2444283,CI_10362243
ISIC_2444391,CI_08402102
ISIC_2451137,CI_11091669
ISIC_2456538,CI_10382304
ISIC_2476454,CI_12453170
ISIC_2489767,CI_15161481
ISIC_2508280,CI_15374734
ISIC_2512593,CI_09443663
ISIC_2538175,CI_08174029
ISIC_2548833,CI_15533987
ISIC_2557960,CI_10485694
ISIC_2563568,CI_10365767
ISIC_2563948,CI_12463352
ISIC_2576220,CI_09394763
ISIC_2599541,CI_10272147
ISIC_2599634,CI_16112659
ISIC_2614015,CI_16484707
ISIC_2615058,CI_11510567
ISIC_2623420,CI_11330002
ISIC_2626164,CI_14144007
ISIC_2631616,CI_13085264
ISIC_2663709,CI_15331494
ISIC_2671471,CI_08523376
ISIC_2687067,CI_09405074
ISIC_2690101,CI_10460255
ISIC_2693316,CI_16094257
ISIC_2702619,CI_16215314
ISIC_2721975,CI_09375963
ISIC_2750724,CI_14401776
ISIC_2756237,CI_07483307
ISIC_2757370,CI_14225215
ISIC_2775779,CI_08521497
ISIC_2782072,CI_10053151
ISIC_2783936,CI_14510442
ISIC_2785362,CI_11280759
ISIC_2788756,CI_12192993
ISIC_2790519,CI_10134123
ISIC_2801456,CI_08210528
ISIC_2808223,CI_15265199
ISIC_2810420,CI_10013997
ISIC_2818959,CI_10473431
ISIC_2826511,CI_16045339
ISIC_2850215,CI_10051697
ISIC_2851842,CI_11150996
ISIC_2857760,CI_08374583
ISIC_2869606,CI_11344596
ISIC_2869677,CI_09185000
ISIC_2877445,CI_10360669
ISIC_2880255,CI_08572855
ISIC_2884038,CI_11240561
ISIC_2899773,CI_14562621
ISIC_2916754,CI_17204497
ISIC_2939439,CI_09265111
ISIC_2944098,CI_13164864
ISIC_2954389,CI_15265252
ISIC_2957465,CI_10092326
ISIC_2975167,CI_13344778
ISIC_2975850,CI_16041719
ISIC_2986485,CI_16073316
ISIC_2991354,CI_15184884
ISIC_2996240,CI_11261449
ISIC_3001197,CI_15455130
ISIC_3018257,CI_12485034
ISIC_3023694,CI_09273618
ISIC_3037830,CI_09115057
ISIC_3040722,CI_15500624
ISIC_3045939,CI_16121859
ISIC_3064935,CI_15072550
ISIC_3083366,CI_09282944
ISIC_3094758,CI_16130600
ISIC_3106964,CI_09181425
ISIC_3107586,CI_11374371
ISIC_3112053,CI_16035184
ISIC_3125124,CI_16245697
ISIC_3127359,CI_13425657
ISIC_3127691,CI_13583429
ISIC_3133338,CI_13204321
ISIC_3136432,CI_13422484
ISIC_3147084,CI_11034846
ISIC_3148886,CI_10111782
ISIC_3160599,CI_12174984
ISIC_3166167,CI_11265896
ISIC_3174039,CI_08332886
ISIC_3179153,CI_16221471
ISIC_3180213,CI_12015625
ISIC_3182500,CI_13385157
ISIC_3182805,CI_11471800
ISIC_3186272,CI_09294837
ISIC_3188100,CI_09334622
ISIC_3200875,CI_15021925
ISIC_3206883,CI_13265447
ISIC_3222339,CI_14594231
ISIC_3225894,CI_09320753
ISIC_3227202,CI_12125084
ISIC_3233147,CI_12591603
ISIC_3236918,CI_11401436
ISIC_3281565,CI_13314649
